id,host_id,neighbourhood_cleansed,room_type,minimum_nights,review_scores_rating
2035151,8205378,NAVIGLI,Private room,1,4.57
2213911,8089215,XXII MARZO,Entire home/apt,9,4.0
2045219,10486093,ISOLA,Entire home/apt,2,4.77
2045424,8527153,PADOVA,Private room,2,4.91
2050657,5419464,SARPI,Entire home/apt,31,5.0
2219974,2030526,S. CRISTOFORO,Entire home/apt,2,4.75
2220573,5941588,BOVISA,Entire home/apt,120,4.81
2221901,8877100,WASHINGTON,Private room,1,4.81
2052403,553162,STADERA,Entire home/apt,31,4.71
2230903,11386797,TICINESE,Entire home/apt,1,5.0
2058798,4040726,BUENOS AIRES - VENEZIA,Entire home/apt,1,5.0
2235150,11410972,GALLARATESE,Entire home/apt,4,4.83
2064633,10563617,VIGENTINA,Entire home/apt,2,4.61
2236479,9666994,BUENOS AIRES - VENEZIA,Entire home/apt,3,4.87
2238808,4069864,BUENOS AIRES - VENEZIA,Entire home/apt,30,4.87
2239305,11112532,MACIACHINI - MAGGIOLINA,Private room,1,4.58
2077181,8327389,CENTRALE,Entire home/apt,2,
2241636,11255661,DE ANGELI - MONTE ROSA,Entire home/apt,30,4.4
2254467,1786307,CENTRALE,Private room,2,4.78
2086660,5374301,DUOMO,Entire home/apt,2,4.8
2271545,11598289,WASHINGTON,Entire home/apt,2,
2271642,3155536,FARINI,Private room,2,4.86
2087391,9832002,BUENOS AIRES - VENEZIA,Shared room,2,4.89
2276277,11623065,PORTA ROMANA,Entire home/apt,2,4.76
2095269,10324932,SARPI,Entire home/apt,2,4.82
2277182,10499061,DUOMO,Entire home/apt,2,4.86
2503668,12759291,NAVIGLI,Entire home/apt,7,4.64
2504597,12792326,BANDE NERE,Entire home/apt,2,5.0
2286357,3193226,GRECO,Entire home/apt,7,4.32
2290704,8721458,TICINESE,Entire home/apt,3,4.71
